Unnamed: 0,house_age,years_since_last_action,was_renovated,sqft_living_per_floor,sqft_basement_ratio,sqft_living_lot_ratio,total_rooms_approx,log_sqft_living,log_sqft_lot,log_sqft_above,log_sqft_basement,sqft_living_sq,bed_bath_interaction,age_sqft_interaction,city,statezip,city_encoded,statezip_encoded
0,8,8,0,1475.0,0.0,0.287692608,6.5,7.989899375,9.235520671,7.989899375,0.0,8702500,7.5,23600,Renton,WA 98059,383432.0808217949,502068.15179130435
1,39,39,0,1920.0,0.21875,0.250489237,6.75,7.560601163,8.944550246,7.313886832,6.042632834,3686400,7.0,74880,Renton,WA 98058,383432.0808217949,361347.7168918919
2,7,7,0,1045.0,0.0,0.402309913,7.5,7.645397699,8.555644378,7.645397699,0.0,4368100,10.0,14630,Kent,WA 98031,481139.1425712329,736617.6659482758
3,17,17,0,1485.0,0.212121212,0.205025542,8.5,7.996653875,9.581006975,7.758333467,6.447305863,8820900,14.0,50490,Mercer Island,WA 98040,1141272.6555549998,1141272.6555549998
4,16,8,1,765.0,0.0,0.441685912,6.5,7.333676396,8.150467912,7.333676396,0.0,2340900,7.5,24480,Bellevue,WA 98007,868105.2200754544,657883.3333321429
5,8,8,0,1207.0,0.0,0.313791759,7.75,7.789454566,8.948196083,7.789454566,0.0,5827396,11.0,19312,Auburn,WA 98002,297484.6263186567,234988.57692307694
6,67,2,1,506.6666667,0.0,0.138181818,4.0,6.634633358,8.612685173,6.634633358,0.0,577600,2.0,50920,Seattle,WA 98168,570515.8814716863,267816.9281381818
7,11,11,0,780.0,0.0,0.371428571,6.5,7.353081921,8.343077871,7.353081921,0.0,2433600,7.5,17160,Maple Valley,WA 98038,340425.62602739723,340425.62602739723
8,10,10,1,1240.0,0.0,0.405759162,6.5,7.816416984,8.71817293,7.816416984,0.0,6150400,7.5,24800,Renton,WA 98058,383432.0808217949,361347.7168918919
9,92,92,0,820.0,0.0,0.1312,4.0,6.710523109,8.74049673,6.710523109,0.0,672400,2.0,75440,Seattle,WA 98136,570515.8814716863,550858.2215909091
10,93,14,1,1086.666667,0.0,0.63522993,6.0,7.396948603,7.850493181,7.396948603,0.0,2656900,4.0,151590,Seattle,WA 98122,570515.8814716863,578543.6049388888
11,57,13,1,1220.0,0.0,0.158968011,7.75,7.80016307,9.638870753,7.80016307,0.0,5953600,11.0,139080,Des Moines,WA 98198,308911.756097561,313104.55
12,73,20,1,1610.0,0.372670807,0.255555556,4.75,7.384610383,8.74846363,6.918695219,6.398594935,2592100,3.5,117530,Seattle,WA 98108,570515.8814716863,330107.63636363635
13,30,30,0,1130.0,0.0,0.313888889,7.25,7.723562472,8.881975184,7.723562472,0.0,5107600,9.0,67800,Kent,WA 98031,481139.1425712329,736617.6659482758
14,60,35,1,1780.0,0.0,0.021969613,4.0,7.484930283,11.302476,7.484930283,0.0,3168400,2.0,106800,Auburn,WA 98001,297484.6263186567,259753.75910196078
15,72,32,1,1840.0,0.5,0.339546042,7.0,7.518064181,8.597851094,6.825460036,6.825460036,3385600,8.0,132480,Seattle,WA 98199,570515.8814716863,773926.1244719297
16,74,13,1,1660.0,0.361445783,0.221333333,5.0,7.41517511,8.922791624,6.966967139,6.398594935,2755600,3.0,122840,Seattle,WA 98125,570515.8814716863,450881.6901408451
17,42,42,0,1560.0,0.33974359,0.211038961,6.75,7.353081921,8.908288886,6.938284484,6.274762021,2433600,8.25,65520,Kirkland,WA 98034,624274.5115604027,477233.23682692304
18,107,31,1,820.0,0.0,0.328,7.0,7.403061091,8.517393171,7.403061091,0.0,2689600,8.0,175480,Seattle,WA 98107,570515.8814716863,567483.5416666666
19,67,67,0,2160.0,0.5,0.385714286,7.25,7.678326357,8.630700432,6.985641818,6.985641818,4665600,9.0,144720,Seattle,WA 98119,570515.8814716863,926155.9828974358
20,6,6,0,620.0,0.193548387,0.744297719,7.5,7.123672785,7.418780883,6.908754779,5.484796933,1537600,10.5,7440,Seattle,WA 98136,570515.8814716863,550858.2215909091
21,102,14,1,1920.0,0.270833333,0.72,7.75,7.965892735,8.294299609,7.650168701,6.66057515,8294400,11.0,293760,Seattle,WA 98144,570515.8814716863,566322.6056338028
22,24,5,1,885.0,0.0,0.615652174,6.5,7.479299638,7.964155719,7.479299638,0.0,3132900,7.5,42480,Seattle,WA 98116,570515.8814716863,614958.0922625
23,45,45,0,1560.0,0.0,0.187140115,8.25,8.045908742,9.721545924,8.045908742,0.0,9734400,11.25,140400,Yarrow Point,WA 98004,1293450.0,1419321.0701754387
24,35,0,1,1240.0,0.0,0.247208931,8.0,8.221747728,9.619066823,8.221747728,0.0,13838400,12.0,130200,Renton,WA 98059,383432.0808217949,502068.15179130435
25,11,11,0,1330.0,0.184210526,0.665,7.25,7.886457271,8.294299609,7.68294317,6.196444128,7075600,9.75,29260,Seattle,WA 98122,570515.8814716863,578543.6049388888
26,48,48,0,1890.0,0.0,0.136363636,5.75,7.544861069,9.53683442,7.544861069,0.0,3572100,5.25,90720,Kent,WA 98042,481139.1425712329,335536.09890128206
27,74,18,1,1180.0,0.0,0.127361036,5.0,7.074116816,9.134107066,7.074116816,0.0,1392400,4.0,87320,Seattle,WA 98125,570515.8814716863,450881.6901408451
28,25,25,0,895.0,0.0,0.219793713,6.5,7.490529402,9.005159521,7.490529402,0.0,3204100,7.5,44750,Sammamish,WA 98074,716445.2950143885,648637.487615493
29,47,47,0,1200.0,0.0,0.164835165,5.0,7.090909822,8.893023494,7.090909822,0.0,1440000,3.0,56400,Kent,WA 98032,481139.1425712329,275160.14285714284
30,89,46,1,2250.0,0.444444444,0.255681818,6.0,7.719129841,9.08262063,7.13169851,6.908754779,5062500,6.0,200250,Seattle,WA 98116,570515.8814716863,614958.0922625
31,90,3,1,1080.0,0.0,0.308571429,4.0,6.985641818,8.160803921,6.985641818,0.0,1166400,2.0,97200,Seattle,WA 98103,570515.8814716863,585021.7971639343
32,57,13,1,1870.0,0.0,0.151037881,5.75,7.534228326,9.423999084,7.534228326,0.0,3496900,5.25,106590,Federal Way,WA 98003,294767.48545,297147.36842105264
33,98,98,0,1530.0,0.45751634,0.436768484,4.75,7.333676396,8.161660452,6.722629795,6.552507887,2340900,3.5,149940,Seattle,WA 98119,570515.8814716863,926155.9828974358
34,66,20,1,910.0,0.0,0.202222222,5.0,6.814542897,8.412054873,6.814542897,0.0,828100,3.0,60060,Seattle,WA 98117,570515.8814716863,561530.210114151
35,19,19,0,1605.0,0.0,0.215291751,7.5,8.074337694,9.609854475,8.074337694,0.0,10304100,10.0,60990,Sammamish,WA 98074,716445.2950143885,648637.487615493
36,15,15,0,775.0,0.0,0.11996904,6.5,7.346655163,9.466609174,7.346655163,0.0,2402500,7.5,23250,Kirkland,WA 98033,624274.5115604027,785812.8133802817
37,38,38,0,2140.0,0.313084112,0.206763285,4.25,7.669028289,9.244838412,7.293697721,6.508769137,4579600,2.25,81320,Woodinville,WA 98072,627221.0372340425,586174.3636363636
38,9,9,0,1130.0,0.0,0.542617047,6.5,7.723562472,8.334711622,7.723562472,0.0,5107600,7.5,20340,Sammamish,WA 98075,716445.2950143885,782580.4912328571
39,8,8,0,1325.0,0.0,0.333543109,7.5,7.882692206,8.980423936,7.882692206,0.0,7022500,10.0,21200,Seattle,WA 98125,570515.8814716863,450881.6901408451
40,45,4,1,2760.0,0.0,0.271653543,6.25,7.923348212,9.226312141,7.923348212,0.0,7617600,6.75,124200,Renton,WA 98058,383432.0808217949,361347.7168918919
41,98,98,0,1240.0,0.0,0.256092524,5.0,7.123672785,8.485289642,7.123672785,0.0,1537600,3.0,121520,Seattle,WA 98118,570515.8814716863,439296.84873970586
42,11,11,0,1330.0,0.0,0.483636364,7.5,7.886457271,8.612685173,7.886457271,0.0,7075600,10.0,29260,Issaquah,WA 98029,604410.8557,624102.6253971428
