,house_age,years_since_last_action,was_renovated,sqft_living_per_floor,sqft_basement_ratio,sqft_living_lot_ratio,total_rooms_approx,log_sqft_living,log_sqft_lot,log_sqft_above,log_sqft_basement,sqft_living_sq,bed_bath_interaction,age_sqft_interaction
0,8,8,0,1475.0,0.0,0.28769260776282424,6.5,7.989899374942939,9.235520670506482,7.989899374942939,0.0,8702500,7.5,23600
1,39,39,0,1920.0,0.21875,0.25048923679060664,6.75,7.560601162768557,8.9445502459405,7.313886831633462,6.042632833682381,3686400,7.0,74880
2,7,7,0,1045.0,0.0,0.40230991337824834,7.5,7.645397699428633,8.55564437779049,7.645397699428633,0.0,4368100,10.0,14630
3,17,17,0,1485.0,0.21212121212121213,0.2050255419025266,8.5,7.9966538754626075,9.581006974541651,7.75833346749091,6.447305862541213,8820900,14.0,50490
4,16,8,1,765.0,0.0,0.4416859122401848,6.5,7.333676395657684,8.150467911624004,7.333676395657684,0.0,2340900,7.5,24480
5,8,8,0,1207.0,0.0,0.3137917587417132,7.75,7.789454566086673,8.94819608331224,7.789454566086673,0.0,5827396,11.0,19312
6,67,2,1,506.6666666666667,0.0,0.13818181818181818,4.0,6.634633357861686,8.612685172875459,6.634633357861686,0.0,577600,2.0,50920
7,11,11,0,780.0,0.0,0.37142857142857144,6.5,7.353081920515432,8.343077871169383,7.353081920515432,0.0,2433600,7.5,17160
8,10,10,1,1240.0,0.0,0.40575916230366493,6.5,7.816416983691801,8.718172930028725,7.816416983691801,0.0,6150400,7.5,24800
9,92,92,0,820.0,0.0,0.1312,4.0,6.710523109452428,8.740496729931813,6.710523109452428,0.0,672400,2.0,75440
10,93,14,1,1086.6666666666667,0.0,0.6352299298519096,6.0,7.396948602621014,7.8504931808711405,7.396948602621014,0.0,2656900,4.0,151590
11,57,13,1,1220.0,0.0,0.15896801094533847,7.75,7.80016307039296,9.638870753015343,7.80016307039296,0.0,5953600,11.0,139080
12,73,20,1,1610.0,0.37267080745341613,0.25555555555555554,4.75,7.384610383176974,8.748463629942055,6.918695219020472,6.398594934535208,2592100,3.5,117530
13,30,30,0,1130.0,0.0,0.3138888888888889,7.25,7.72356247227797,8.881975184248867,7.72356247227797,0.0,5107600,9.0,67800
14,60,35,1,1780.0,0.0,0.021969612816430308,4.0,7.484930283289661,11.302476001714904,7.484930283289661,0.0,3168400,2.0,106800
15,72,32,1,1840.0,0.5,0.33954604170511166,7.0,7.518064181233078,8.597851094433691,6.825460036255307,6.825460036255307,3385600,8.0,132480
16,74,13,1,1660.0,0.3614457831325301,0.22133333333333333,5.0,7.415175109613295,8.922791623969637,6.966967138613983,6.398594934535208,2755600,3.0,122840
17,42,42,0,1560.0,0.33974358974358976,0.21103896103896103,6.75,7.353081920515432,8.9082888855571,6.93828448401696,6.274762021241939,2433600,8.25,65520
18,107,31,1,820.0,0.0,0.328,7.0,7.403061091090091,8.517393171418904,7.403061091090091,0.0,2689600,8.0,175480
19,67,67,0,2160.0,0.5,0.38571428571428573,7.25,7.6783263565068856,8.630700432209832,6.985641817639208,6.985641817639208,4665600,9.0,144720
20,6,6,0,620.0,0.1935483870967742,0.7442977190876351,7.5,7.123672785204607,7.418780882750794,6.90875477931522,5.484796933490655,1537600,10.5,7440
21,102,14,1,1920.0,0.2708333333333333,0.72,7.75,7.9658927350845286,8.294299608857235,7.650168700845001,6.660575149839686,8294400,11.0,293760
